s,i,w,Tag,?*?,l,x,p,g,f,sent_id,Case,Number,Type,Polarity,Reflex,Polite,Evident,Aspect,Person,Voice,Mood,type,Tense,cat
11,9,temsil,I-AdverbialComp,,temsil,NOUN,Noun,11,acl,bio_1219,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
11,10,edecek,I-AdverbialComp,,et,VERB,Verb,9,compound:lvc,bio_1219,_,Sing,_,Pos,_,_,_,Imp,3,_,_,_,Fut,bio
11,11,üye,I-AdverbialComp,,üye,NOUN,Noun,13,advcl,bio_1219,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
11,12,olarak,I-AdverbialComp,,ol,ADP,PCNom,11,case,bio_1219,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
11,13,seçilmiştim,B-Pred,,seç,VERB,Verb,0,root,bio_1219,_,Sing,_,Pos,_,_,Fh,Perf,1,Pass,_,_,Past,bio
11,14,.,PUNCT,,.,PUNCT,PUNCT,13,PUNCT,bio_1219,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
15,1,1966,B-AdverbialComp,,1966,NUM,ANum,2,nmod:poss,bio_316,_,_,Card,_,_,_,_,_,_,_,_,Card,_,bio
15,2,yılında,I-AdverbialComp,,yıl,NOUN,Noun,11,obl,bio_316,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
15,3,Bafa,B-IndirectObj,,Bafa,PROPN,Prop,4,nmod:poss,bio_316,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
15,4,gölünün,I-IndirectObj,,göl,NOUN,Noun,5,nmod:poss,bio_316,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
15,5,kuzeyinde,I-IndirectObj,,kuzey,NOUN,Noun,6,obl,bio_316,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
15,6,yer,I-IndirectObj,,yer,NOUN,Noun,8,acl,bio_316,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
15,7,alan,I-IndirectObj,,al,VERB,Verb,6,compound,bio_316,_,_,_,Pos,_,_,_,_,_,_,_,_,Pres,bio
15,8,Kayalık,I-IndirectObj,,kaya,NOUN,Noun,10,nmod:poss,bio_316,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
15,9,Beşparmak,I-IndirectObj,,beşparmak,VERB,Verb,8,flat,bio_316,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
15,10,dağlarına,I-IndirectObj,,dağ,NOUN,Noun,11,obl,bio_316,Dat,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
15,11,tırmanıyorduk,B-Pred,,tırman,VERB,Verb,0,root,bio_316,_,Plur,_,Pos,_,_,Fh,Prog,1,_,_,_,Past,bio
15,12,.,PUNCT,,.,PUNCT,PUNCT,11,PUNCT,bio_316,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
19,1,Onun,B-AdverbialComp,,o,PRON,Pers,6,obl,bio_665,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
19,2,için,I-AdverbialComp,,için,ADP,PCNom,1,case,bio_665,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
19,3,yol,B-DefiniteObj,,yol,NOUN,Noun,4,nmod:poss,bio_665,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
19,4,arkadaşlarımızı,I-DefiniteObj,,arkadaş,NOUN,Noun,6,obj,bio_665,Acc,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
19,5,titizlikle,B-AdverbialComp,,titiz,ADV,Noun,6,advmod,bio_665,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
19,6,seçer,B-Pred,,seç,VERB,Verb,0,root,bio_665,_,Sing,_,Pos,_,_,_,Hab,3,_,_,_,Pres,bio
19,7,",",PUNCT,,",",PUNCT,PUNCT,10,PUNCT,bio_665,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
19,8,kendilerini,B-DefiniteObj,,kendi,PRON,Reflex,10,obj,bio_665,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
19,9,iyice,B-AdverbialComp,,iyice,ADV,Adverb,10,advmod,bio_665,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
19,10,sınarız,B-Pred,,sın,VERB,Verb,6,conj,bio_665,_,Plur,_,Pos,_,_,_,Hab,1,_,_,_,Pres,bio
19,11,.,PUNCT,,.,PUNCT,PUNCT,10,PUNCT,bio_665,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
22,1,"""Neden",B-AdverbialComp,?*?,"""Net",ADV,Adverb,5,ccomp,bio_1097,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
22,2,?,PUNCT,,?,PUNCT,PUNCT,1,PUNCT,bio_1097,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
22,3,"""",PUNCT,,"""",PUNCT,PUNCT,1,PUNCT,bio_1097,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
22,4,diye,O,,diye,ADP,PCNom,1,case,bio_1097,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
22,5,sordum,B-Pred,,sor,VERB,Verb,0,root,bio_1097,_,Sing,_,Pos,_,_,Fh,Perf,1,_,_,_,Past,bio
22,6,.,PUNCT,,.,PUNCT,PUNCT,5,PUNCT,bio_1097,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
27,1,İçindeki,B-AdverbialComp,,iç,NOUN,Noun,2,amod,bio_1311,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
27,2,isimler,I-AdverbialComp,,isim,NOUN,Noun,6,obl,bio_1311,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
27,3,ve,I-AdverbialComp,,ve,CCONJ,Conj,5,cc,bio_1311,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
27,4,telefon,I-AdverbialComp,,telefon,NOUN,Noun,5,nmod:poss,bio_1311,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
27,5,numaralarından,I-AdverbialComp,,numara,NOUN,Noun,2,conj,bio_1311,Abl,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
27,6,yola,I-AdverbialComp,,yol,NOUN,Noun,10,advcl,bio_1311,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
27,7,çıkarak,I-AdverbialComp,,çık,VERB,Verb,6,compound,bio_1311,_,_,_,Pos,_,_,_,_,_,_,Imp,_,_,bio
27,8,başka,B-IndefiniteObj,,başka,ADJ,Adj,9,amod,bio_1311,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
27,9,operasyonlar,I-IndefiniteObj,,operasyon,NOUN,Noun,10,obj,bio_1311,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
27,10,yaptık,B-Pred,,yap,VERB,Verb,0,root,bio_1311,_,Plur,_,Pos,_,_,Fh,Perf,1,_,_,_,Past,bio
27,11,",",PUNCT,,",",PUNCT,PUNCT,10,PUNCT,bio_1311,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
27,12,ama,O,,ama,CCONJ,Conj,16,cc,bio_1311,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
27,13,bunlar,B-Pred,,bu,PRON,Demons,16,nsubj,bio_1311,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
27,14,ayrı,I-Pred,,ayrı,ADJ,Adj,16,amod,bio_1311,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
27,15,bir,I-Pred,,bir,DET,ANum,16,det,bio_1311,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
27,16,öykü,I-Pred,,öykü,NOUN,Noun,10,conj,bio_1311,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
27,17,".""",PUNCT,,".""",PUNCT,PUNCT,16,PUNCT,bio_1311,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
29,1,Tüm,B-IndirectObj,,tüm,DET,Det,2,det,bio_1864,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
29,2,dostlara,I-IndirectObj,,dost,NOUN,Noun,3,obl,bio_1864,Dat,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
29,3,haber,B-IndefiniteObj,,haber,NOUN,Noun,4,obj,bio_1864,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
29,4,ulaştıramadım,B-Pred,,ulaş,VERB,Verb,0,root,bio_1864,_,Sing,_,Neg,_,_,Fh,Perf,1,Cau,_,_,Past,bio
29,5,",",PUNCT,,",",PUNCT,PUNCT,11,PUNCT,bio_1864,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
29,6,ama,O,,ama,CCONJ,Conj,11,cc,bio_1864,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
29,7,kalan,B-Subj,,kal,VERB,Verb,8,acl,bio_1864,_,_,_,Pos,_,_,_,_,_,_,_,_,Pres,bio
29,8,dostlar,I-Subjj,,dost,ADJ,NAdj,11,nsubj,bio_1864,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
29,9,her,B-DefiniteObj,,her,DET,Det,10,det,bio_1864,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
29,10,şeyi,I-DefiniteObj,,şey,NOUN,Noun,11,obj,bio_1864,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
29,11,halletti,B-Pred,,hallet,VERB,Verb,4,conj,bio_1864,_,Sing,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
29,12,.,PUNCT,,.,PUNCT,PUNCT,11,PUNCT,bio_1864,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
32,1,"""Bunu",B-DefiniteObj,,"""Bu",NOUN,Noun,5,obj,bio_1512,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
32,2,da,O,,da,CCONJ,Conj,1,advmod:emph,bio_1512,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
32,3,mı,O,,mi,AUX,Ques,1,aux:q,bio_1512,_,Sing,_,_,_,_,_,Imp,3,_,_,_,Pres,bio
32,4,o,B-Subj,,o,PRON,Pers,5,nsubj,bio_1512,Nom,Sing,Prs,_,_,_,_,_,3,_,_,Prs,_,bio
32,5,yapmış,B-Pred,,yap,VERB,Verb,0,root,bio_1512,_,Sing,_,Pos,_,_,Nfh,_,3,_,_,_,Past,bio
32,6,?,PUNCT,,?,PUNCT,PUNCT,5,PUNCT,bio_1512,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
32,7,"""",PUNCT,,"""",PUNCT,PUNCT,5,PUNCT,bio_1512,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
36,1,O,B-IndefiniteObj,,o,DET,Det,2,det,bio_1603,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
36,2,hanımı,I-IndefiniteObj,,hanım,NOUN,Noun,3,obj,bio_1603,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
36,3,asistan,I-IndefiniteObj,,asistan,ADJ,NAdj,4,obj,bio_1603,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
36,4,yaptılar,B-Pred,,yap,VERB,Verb,0,root,bio_1603,_,Plur,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
36,5,.,PUNCT,,.,PUNCT,PUNCT,4,PUNCT,bio_1603,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,1,Moby,B-Subj,,Moby,NOUN,Noun,3,obl,bio_1396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
43,2,Dick'e,I-Subjj,,Dick,PROPN,Prop,1,flat,bio_1396,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
43,3,aldığım,I-Subjj,,al,VERB,Verb,5,acl,bio_1396,Nom,Sing,_,Pos,_,_,_,Perf,3,_,_,_,Past,bio
43,4,sarı,I-Subjj,,sar,ADJ,Adj,5,amod,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,5,boya,I-Subjj,,boya,NOUN,Noun,16,nsubj,bio_1396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
43,6,inceltmek,B-AdverbialComp,,incel,VERB,Verb,16,advcl,bio_1396,Nom,_,_,Pos,_,_,_,_,_,Cau,_,_,_,bio
43,7,için,I-AdverbialComp,,için,ADP,PCNom,6,case,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,8,ne,B-IndefiniteObj,,ne,CCONJ,Conj,9,cc:preconj,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,9,gaz,I-IndefiniteObj,,gaz,NOUN,Noun,16,nsubj,bio_1396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
43,10,",",I-IndefiniteObj,,",",PUNCT,PUNCT,12,PUNCT,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,11,ne,I-IndefiniteObj,,ne,CCONJ,Conj,12,cc:preconj,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,12,benzin,I-IndefiniteObj,,benzin,PRON,Pers,9,conj,bio_1396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
43,13,",",I-IndefiniteObj,,",",PUNCT,PUNCT,15,PUNCT,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,14,hiçbir,I-IndefiniteObj,,hiçbir,DET,Det,15,det,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
43,15,şey,I-IndefiniteObj,,şey,NOUN,Noun,16,obj,bio_1396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
43,16,kabul,B-Pred,,kabul,NOUN,Noun,0,root,bio_1396,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
43,17,etmiyordu,I-Pred,,et,VERB,Verb,16,compound:lvc,bio_1396,_,Sing,_,Neg,_,_,Fh,Prog,3,_,_,_,Past,bio
43,18,.,PUNCT,,.,PUNCT,PUNCT,16,PUNCT,bio_1396,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
44,1,Telsiz,B-Subj,,tel,NOUN,Noun,5,nsubj,bio_1973,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
44,2,",",PUNCT,,",",PUNCT,PUNCT,5,PUNCT,bio_1973,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
44,3,sürekli,B-AdverbialComp,,sürekli,ADV,Adverb,5,advcl,bio_1973,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
44,4,olarak,I-AdverbialComp,,ol,ADP,PCNom,3,case,bio_1973,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
44,5,işliyor,B-Pred,,işle,VERB,Verb,0,root,bio_1973,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,bio
44,6,",",PUNCT,,",",PUNCT,PUNCT,9,PUNCT,bio_1973,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
44,7,tamamlayıcı,B-Subj,,tamamla,ADJ,Adj,8,amod,bio_1973,Nom,Sing,_,Pos,_,_,_,_,3,_,_,_,_,bio
44,8,haberler,I-Subjj,,haber,NOUN,Noun,9,nsubj,bio_1973,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
44,9,geliyor,B-Pred,,gel,VERB,Verb,5,conj,bio_1973,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,bio
44,10,",",PUNCT,,",",PUNCT,PUNCT,13,PUNCT,bio_1973,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
44,11,buyruklar,B-Subj,,buyruk,NOUN,Noun,13,nsubj,bio_1973,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
44,12,yerine,B-IndirectObj,,yer,NOUN,Noun,13,obj,bio_1973,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
44,13,ulaşıyordu,B-Pred,,ulaş,VERB,Verb,5,conj,bio_1973,_,Sing,_,Pos,_,_,Fh,Prog,3,_,_,_,Past,bio
44,14,.,PUNCT,,.,PUNCT,PUNCT,13,PUNCT,bio_1973,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
46,1,Dünyaca,B-Subj,,Dünya,ADV,Adverb,2,advmod,bio_965,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
46,2,ünlü,I-Subjj,,ünlü,ADJ,Adj,3,amod,bio_965,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
46,3,obuacı,I-Subjj,,obua,NOUN,Noun,7,nsubj,bio_965,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
46,4,oturup,B-AdverbialComp,,otur,VERB,Verb,7,advcl,bio_965,_,_,_,Pos,_,_,_,_,_,_,_,_,_,bio
46,5,bir,B-AdverbialComp,,bir,DET,ANum,6,det,bio_965,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
46,6,süre,I-AdverbialComp,,süre,NOUN,Noun,7,obl,bio_965,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
46,7,dinledi,B-Pred,,dinle,VERB,Verb,0,root,bio_965,_,Sing,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
46,8,",",PUNCT,,",",PUNCT,PUNCT,13,PUNCT,bio_965,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
46,9,sonra,B-AdverbialComp,,sonra,ADV,Adverb,13,advmod,bio_965,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
46,10,solisti,B-DefiniteObj,,solist,VERB,Verb,11,obj,bio_965,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
46,11,tanımak,I-DefiniteObj,,tanı,VERB,Verb,12,xcomp,bio_965,Nom,_,_,Pos,_,_,_,_,_,_,_,_,_,bio
46,12,istediğini,I-DefiniteObj,,iste,VERB,Verb,13,ccomp,bio_965,Acc,Sing,_,Pos,_,_,_,Perf,3,_,_,_,Past,bio
46,13,söyledi,B-Pred,,söyle,VERB,Verb,7,conj,bio_965,_,Sing,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
46,14,.,PUNCT,,.,PUNCT,PUNCT,13,PUNCT,bio_965,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
48,1,Çocuklardan,O,,çocuk,NOUN,Noun,2,nmod:poss,bio_1690,Abl,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
48,2,biri,O,,biri,PRON,Quant,0,root,bio_1690,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
48,3,",",PUNCT,,",",PUNCT,PUNCT,2,PUNCT,bio_1690,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
49,1,Köylülerin,B-Subj,,köylü,NOUN,Noun,4,nsubj,bio_1888,Gen,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
49,2,çoğu,I-Subjj,,çoğu,DET,Det,3,det,bio_1888,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
49,3,evlere,B-IndirectObj,,ev,NOUN,Noun,4,obl,bio_1888,Dat,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
49,4,girmemişti,B-Pred,,gir,VERB,Verb,0,root,bio_1888,_,Sing,_,Neg,_,_,Fh,Perf,3,_,_,_,Past,bio
49,5,;,PUNCT,,;,PUNCT,PUNCT,9,PUNCT,bio_1888,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
49,6,çünkü,O,,çünkü,CCONJ,Conj,9,cc,bio_1888,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
49,7,söylediklerine,B-AdverbialComp,,söyle,NOUN,Noun,9,advcl,bio_1888,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
49,8,göre,I-AdverbialComp,,göre,ADP,PCDat,7,case,bio_1888,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
49,9,ısınamıyorlardı,B-Pred,,ısın,VERB,Verb,4,conj,bio_1888,_,Plur,_,Neg,_,_,Fh,Prog,3,_,_,_,Past,bio
49,10,.,PUNCT,,.,PUNCT,PUNCT,9,PUNCT,bio_1888,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,1,Sesleri,B-Subj,,ses,NOUN,Noun,2,obj,bio_1939,Acc,Plur,_,_,_,_,_,_,3,_,_,_,_,bio
50,2,duyan,I-Subjj,,duy,VERB,Verb,7,acl,bio_1939,_,_,_,Pos,_,_,_,_,_,_,_,_,Pres,bio
50,3,",",I-Subjj,,",",PUNCT,PUNCT,6,PUNCT,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,4,şirkete,I-Subjj,,şirket,NOUN,Noun,6,obl,bio_1939,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
50,5,yeni,I-Subjj,,yeni,ADJ,Adj,6,amod,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,6,girmiş,I-Subjj,,gir,VERB,Verb,2,conj,bio_1939,_,Sing,_,Pos,_,_,Nfh,_,3,_,_,_,Past,bio
50,7,kaptan,I-Subjj,,kaptan,NOUN,Noun,17,nsubj,bio_1939,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
50,8,",",PUNCT,,",",PUNCT,PUNCT,17,PUNCT,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,9,şaşkın,B-AdverbialComp,,şaşkın,ADJ,Adj,13,amod,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,10,ve,I-AdverbialComp,,ve,CCONJ,Conj,11,cc,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,11,ürkek,I-AdverbialComp,,ürkek,ADJ,Adj,9,conj,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,12,bir,I-AdverbialComp,,bir,DET,ANum,13,det,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
50,13,ifadeyle,I-AdverbialComp,,ifade,NOUN,Noun,15,obl,bio_1939,Ins,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
50,14,boxerını,B-AdverbialComp,,boxer,NOUN,Noun,15,obj,bio_1939,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
50,15,çekiştirerek,I-AdverbialComp,,çekiş,VERB,Verb,16,advcl,bio_1939,_,_,_,Pos,_,_,_,_,_,Cau,Imp,_,_,bio
50,16,tuvaletten,B-IndirectObj,,tuvalet,NOUN,Noun,17,obl,bio_1939,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
50,17,fırladı,B-Pred,,fırla,VERB,Verb,0,root,bio_1939,_,Sing,_,Pos,_,_,Fh,Perf,3,_,_,_,Past,bio
50,18,.,PUNCT,,.,PUNCT,PUNCT,17,PUNCT,bio_1939,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
51,1,Alelacele,B-AdverbialComp,,Alelacele,ADV,Adj,2,advmod,bio_1867,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
51,2,el,B-AdverbialComp,,el,NOUN,Noun,4,advcl,bio_1867,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
51,3,edip,I-AdverbialComp,,et,VERB,Verb,2,compound:lvc,bio_1867,_,_,_,Pos,_,_,_,_,_,_,_,_,_,bio
51,4,durdurdum,B-Pred,,dur,VERB,Verb,0,root,bio_1867,_,Sing,_,Pos,_,_,Fh,Perf,1,Cau,_,_,Past,bio
51,5,ve,O,,ve,CCONJ,Conj,6,cc,bio_1867,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
51,6,bindik,B-Pred,,bin,VERB,Verb,4,conj,bio_1867,_,Plur,_,Pos,_,_,Fh,Perf,1,_,_,_,Past,bio
51,7,.,PUNCT,,.,PUNCT,PUNCT,6,PUNCT,bio_1867,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
54,1,Ancak,O,,ancak,CCONJ,Conj,7,cc,bio_634,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
54,2,"""",PUNCT,,"""",PUNCT,PUNCT,3,PUNCT,bio_634,_,_,_,_,_,_,_,_,_,_,_,_,_,bio
54,3,pet,B-AdverbialComp,,pet,NOUN,Noun,6,obj,bio_634,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,bio
