s,i,w,Tag,,l,x,p,g,f,sent_id,Case,Number,Type,Polarity,Reflex,Polite,Evident,Aspect,Person,Voice,Mood,type,Tense,cat
28,3,Türkiye'nin,B-Pred,,Türkiye,PROPN,Prop,4,nmod:poss,ess_913,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
28,4,sevdalısı,I-Pred,,sevdalı,NOUN,Noun,0,root,ess_913,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
28,5,.,PUNCT,,.,PUNCT,PUNCT,4,PUNCT,ess_913,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
38,1,Ama,O,?*?,ama,CCONJ,Conj,0,root,ess_932,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
38,2,hayatta,B-IndirectObj,,hayat(I),NOUN,Noun,8,obl,ess_932,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
38,3,her,B-Subj,,her,DET,Det,8,nsubj,ess_932,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
38,4,şey,I-Subjj,,şey,NOUN,Noun,3,compound,ess_932,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
38,5,bizim,B-AdverbialComp,,biz,PRON,Pers,8,nsubj,ess_932,Gen,Plur,_,_,_,_,_,_,1,_,_,_,_,ess
38,6,istediğimiz,I-AdverbialComp,,iste,VERB,Verb,8,nmod,ess_932,_,_,_,Pos,_,_,_,Perf,_,_,_,_,Past,ess
38,7,gibi,I-AdverbialComp,,gibi,ADP,PCNom,6,case,ess_932,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
38,8,olmuyor,B-Pred,,ol,VERB,Verb,1,conj,ess_932,_,Sing,_,Neg,_,_,_,Prog,3,_,_,_,Pres,ess
38,9,.,PUNCT,,.,PUNCT,PUNCT,8,PUNCT,ess_932,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
41,1,Bunu,B-DefiniteObj,,bu,PRON,Demons,2,obj,ess_594,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
41,2,umuyoruz,B-Pred,,um,VERB,Verb,0,root,ess_594,_,Plur,_,Pos,_,_,_,Prog,1,_,_,_,Pres,ess
41,3,.,PUNCT,,.,PUNCT,PUNCT,2,PUNCT,ess_594,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
58,1,Bence,O,,ben,PRON,Pers,9,obl,ess_1954,Equ,Sing,_,_,_,_,_,_,1,_,_,_,_,ess
58,2,anne,B-Subj,,anne,NOUN,Noun,3,nmod,ess_1954,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
58,3,babalar,I-Subjj,,baba,NOUN,Noun,7,nsubj,ess_1954,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
58,4,da,O,,da,CCONJ,Conj,3,advmod:emph,ess_1954,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
58,5,tam,B-AdverbialComp,,tam,ADJ,Adj,7,amod,ess_1954,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
58,6,olarak,I-AdverbialComp,,ol,ADP,PCNom,5,case,ess_1954,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
58,7,bilmiyordu,B-Pred,,bil,VERB,Verb,9,acl,ess_1954,_,Sing,_,Neg,_,_,Fh,Prog,3,_,_,_,Past,ess
58,8,niye,B-DefiniteObj,,niye,ADV,Adverb,9,advmod,ess_1954,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
58,9,olduğunu,I-DefiniteObj,,ol,VERB,Verb,0,root,ess_1954,Acc,Sing,_,Pos,_,_,_,Perf,3,_,_,_,Past,ess
58,10,.,PUNCT,,.,PUNCT,PUNCT,9,PUNCT,ess_1954,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
60,1,1925'in,B-AdverbialComp,,1925,PROPN,Prop,3,nmod:poss,ess_1231,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
60,2,ilk,I-AdverbialComp,,ilk,ADJ,Adj,3,amod,ess_1231,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
60,3,yarısından,I-AdverbialComp,,yarı,ADJ,NAdj,13,amod,ess_1231,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
60,4,itibaren,I-AdverbialComp,,itibaren,ADP,PCAbl,3,case,ess_1231,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
60,5,",",PUNCT,,",",PUNCT,PUNCT,13,PUNCT,ess_1231,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
60,6,Türkiye'de,B-AdverbialComp,,Türkiye,PROPN,Prop,7,nmod,ess_1231,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
60,7,muhalefete,B-AdverbialComp,,muhalefet,NOUN,Noun,12,nmod:poss,ess_1231,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
60,8,ve,I-AdverbialComp,,ve,CCONJ,Conj,9,cc,ess_1231,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
60,9,dolayısıyla,I-AdverbialComp,,dolayısı,NOUN,Noun,7,conj,ess_1231,Ins,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
60,10,siyasete,I-AdverbialComp,,siyaset,NOUN,Noun,11,obl,ess_1231,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
60,11,yaşama,B-Subj,,yaşa,VERB,Verb,7,compound,ess_1231,Nom,Sing,_,Pos,_,_,_,_,3,_,_,_,_,ess
60,12,hakkı,I-Subjj,,Hak,NOUN,Noun,13,nsubj,ess_1231,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
60,13,tanınmamıştır,B-Pred,,tanı,VERB,Verb,0,root,ess_1231,_,Sing,_,Neg,_,_,Nfh,_,3,Pass,_,_,Past,ess
60,14,.,PUNCT,,.,PUNCT,PUNCT,13,PUNCT,ess_1231,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
74,1,Salt,B-Subj,,salt,NOUN,Noun,2,nmod:poss,ess_587,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,2,yargı,I-Subjj,,yargı,NOUN,Noun,3,nmod:poss,ess_587,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,3,önüne,I-Subjj,,ön,ADJ,NAdj,7,advcl,ess_587,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,4,çıkarılmasın,I-Subjj,,çık,VERB,Verb,3,compound,ess_587,_,Sing,_,Neg,_,_,_,_,3,Pass,Imp,_,_,ess
74,5,diye,I-Subjj,,diye,ADP,PCNom,3,case,ess_587,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
74,6,partisini,I-Subjj,,parti,NOUN,Noun,7,obj,ess_587,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,7,bağlayıp,I-Subjj,,bağla,VERB,Verb,13,advcl,ess_587,_,_,_,Pos,_,_,_,_,_,_,_,_,_,ess
74,8,",",I-Subjj,,",",PUNCT,PUNCT,9,PUNCT,ess_587,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
74,9,paketleyip,I-Subjj,,paketle,VERB,Verb,7,conj,ess_587,_,_,_,Pos,_,_,_,_,_,_,_,_,_,ess
74,10,Refah,I-Subjj,,Refah,PROPN,Prop,11,nmod:poss,ess_587,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,11,Partisi'ne,I-Subjj,,parti,NOUN,Noun,13,iobj,ess_587,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,12,rehin,I-Subjj,,rehin,NOUN,Noun,13,obj,ess_587,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,13,bırakan,I-Subjj,,bırak,VERB,Verb,15,acl,ess_587,_,_,_,Pos,_,_,_,_,_,_,_,_,Pres,ess
74,14,Bayan,I-Subjj,,bayan,NOUN,Noun,15,nmod,ess_587,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,15,Çiller,I-Subjj,,Çiller,PROPN,Prop,17,nsubj,ess_587,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,16,ödülünü,B-DefiniteObj,,ödül,NOUN,Noun,17,obj,ess_587,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
74,17,alıyor,B-Pred,,al,VERB,Verb,0,root,ess_587,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,ess
74,18,.,PUNCT,,.,PUNCT,PUNCT,17,PUNCT,ess_587,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
79,1,Onu,B-Subj,,o,PRON,Pers,2,obj,ess_345,Acc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
79,2,tutacak,I-Subjj,,tutacak,VERB,Verb,3,acl,ess_345,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
79,3,kimse,I-Subjj,,kimse,NOUN,Noun,4,nsubj,ess_345,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
79,4,yok,B-Pred,,yok,ADV,Adverb,0,root,ess_345,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
79,5,ki,O,,ki,CCONJ,Conj,4,advmod:emph,ess_345,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
79,6,!,PUNCT,,!,PUNCT,PUNCT,4,PUNCT,ess_345,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
83,1,Bu,B-AdverbialComp,,bu,DET,Det,2,det,ess_1872,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
83,2,korku,I-AdverbialComp,,korku,NOUN,Noun,3,nmod:poss,ess_1872,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
83,3,fırsatçılığı,I-AdverbialComp,,fırsat,NOUN,Noun,4,nmod:poss,ess_1872,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
83,4,sayesinde,I-AdverbialComp,,saye,NOUN,Noun,11,obl,ess_1872,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
83,5,dünyanın,B-Subj,,Dünya,NOUN,Noun,9,nmod,ess_1872,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
83,6,en,I-Subjj,,en,ADV,Adverb,7,advmod,ess_1872,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
83,7,zengin,I-Subjj,,zengin,ADJ,Adj,8,amod,ess_1872,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
83,8,enerji,I-Subjj,,enerji,NOUN,Noun,9,nmod:poss,ess_1872,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
83,9,bölgeleri,I-Subjj,,bölge,NOUN,Noun,10,obj,ess_1872,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
83,10,işgal,B-Pred,,işgal,NOUN,Noun,11,obj,ess_1872,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
83,11,edilmedi,I-Pred,,et,VERB,Verb,0,root,ess_1872,_,Sing,_,Neg,_,_,Fh,Perf,3,Pass,_,_,Past,ess
83,12,mi,I-Pred,,mi,AUX,Ques,11,aux:q,ess_1872,_,Sing,_,_,_,_,_,Imp,3,_,_,_,Pres,ess
83,13,?,PUNCT,,?,PUNCT,PUNCT,11,PUNCT,ess_1872,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
92,1,Yerli,B-Subj,,yerli,ADJ,Adj,2,amod,ess_1247,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
92,2,kadınlar,I-Subjj,,kadın,ADJ,NAdj,3,nsubj,ess_1247,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
92,3,sac,B-DefiniteObj,,sac,NOUN,Abr,4,nmod:poss,ess_1247,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
92,4,üzerinde,I-DefiniteObj,,Üzer,NOUN,Noun,7,nmod,ess_1247,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
92,5,kızartılan,I-DefiniteObj,,kızar,VERB,Verb,4,compound,ess_1247,_,_,_,Pos,_,_,_,_,_,Pass,_,_,Pres,ess
92,6,yassı,I-DefiniteObj,,yassı,ADJ,Adj,7,amod,ess_1247,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
92,7,ekmeklerin,I-DefiniteObj,,ekmek,NOUN,Noun,8,nmod:poss,ess_1247,Gen,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
92,8,pişirilmesini,I-DefiniteObj,,pişir,VERB,Verb,9,obj,ess_1247,Acc,Sing,_,Pos,_,_,_,_,3,Pass,_,_,_,ess
92,9,gösteriyorlar,B-Pred,,göster,VERB,Verb,0,root,ess_1247,_,Plur,_,Pos,_,_,_,Prog,3,_,_,_,Pres,ess
92,10,.,PUNCT,,.,PUNCT,PUNCT,9,PUNCT,ess_1247,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
93,1,Aynı,B-Subj,,aynı,ADJ,Adj,2,amod,ess_1860,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
93,2,roman,I-Subjj,,Roman,NOUN,Noun,7,nsubj,ess_1860,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
93,3,Tunç,B-IndirectObj,,Tunç,PROPN,Prop,5,nmod:poss,ess_1860,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
93,4,Okan,I-IndirectObj,,Okan,PROPN,Prop,3,flat,ess_1860,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
93,5,tarafından,I-IndirectObj,,taraf,NOUN,Noun,6,obl,ess_1860,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
93,6,sinemaya,B-IndirectObj,,sinema,VERB,Verb,7,nmod,ess_1860,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
93,7,uyarlandı,B-Pred,,uyarla,VERB,Verb,0,root,ess_1860,_,Sing,_,Pos,_,_,Fh,Perf,3,Pass,_,_,Past,ess
93,8,(,O,,(,PUNCT,PUNCT,9,PUNCT,ess_1860,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
93,9,1993,O,,1993,NUM,ANum,7,appos,ess_1860,_,_,Card,_,_,_,_,_,_,_,_,Card,_,ess
93,10,),O,,),PUNCT,PUNCT,9,PUNCT,ess_1860,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
93,11,.,PUNCT,,.,PUNCT,PUNCT,7,PUNCT,ess_1860,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
101,1,Devede,B-Pred,?*?,deve,NOUN,Noun,0,root,ess_382,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
101,2,kulak,I-Pred,,kulak,NOUN,Noun,1,compound,ess_382,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
101,3,bile,I-Pred,,bile,ADV,Adverb,1,advmod:emph,ess_382,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
101,4,değil,I-Pred,,değil,VERB,Neg,1,compound:lvc,ess_382,_,Sing,_,Neg,_,_,_,Perf,3,_,Ind,_,Pres,ess
101,5,.,PUNCT,,.,PUNCT,PUNCT,1,PUNCT,ess_382,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,1,Gümüş,B-AdverbialComp,?*?,gümüş,NOUN,Noun,2,nmod:poss,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,2,yılları,I-AdverbialComp,,yıl,NOUN,Noun,3,obj,ess_541,Acc,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
104,3,aşan,I-AdverbialComp,,aş,VERB,Verb,4,acl,ess_541,_,_,_,Pos,_,_,_,_,_,_,_,_,Pres,ess
104,4,saygı,I-AdverbialComp,,saygı,NOUN,Noun,7,amod,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,5,lı,I-AdverbialComp,,li,ADP,With,4,case,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,6,bir,I-AdverbialComp,,bir,DET,ANum,7,det,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,7,beraberliğin,I-AdverbialComp,,beraber,NOUN,Noun,11,nmod:poss,ess_541,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,8,"""",I-AdverbialComp,,"""",PUNCT,PUNCT,9,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,9,parlak,I-AdverbialComp,,parlak,ADJ,Adj,11,amod,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,10,"""",I-AdverbialComp,,"""",PUNCT,PUNCT,9,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,11,ışıkları,I-AdverbialComp,,ışık,NOUN,Noun,20,nsubj,ess_541,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
104,12,",",I-AdverbialComp,,",",PUNCT,PUNCT,20,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,13,günlerin,I-AdverbialComp,,gün,NOUN,Noun,14,nmod:poss,ess_541,Gen,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
104,14,prizmasında,I-AdverbialComp,,prizma,NOUN,Noun,20,obl,ess_541,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,15,önce,I-AdverbialComp,,önce,ADP,PCAbl,17,case,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,16,ikiye,I-AdverbialComp,,iki,NUM,NNum,17,nummod,ess_541,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,17,bölünüp,I-AdverbialComp,,böl,VERB,Verb,20,advcl,ess_541,_,_,_,Pos,_,_,_,_,_,Pass,_,_,_,ess
104,18,tuz,I-AdverbialComp,,tuz,NOUN,Noun,19,compound,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,19,parça,I-AdverbialComp,,parça,ADV,Noun,20,advmod,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,20,olacaksa,I-AdverbialComp,,ol,VERB,Verb,32,advcl,ess_541,_,Sing,_,Pos,_,_,_,Imp,3,_,Cnd,_,Fut,ess
104,21,",",PUNCT,,",",PUNCT,PUNCT,20,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,22,ortadan,B-Subj,,orta,ADV,NAdj,24,advmod,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,23,ikiye,I-Subjj,,iki,NUM,NNum,24,nummod,ess_541,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,24,ayrık,I-Subjj,,ayrık,NOUN,Noun,25,acl,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,25,Karaoğlan,I-Subjj,,Karaoğlan,PROPN,Prop,32,nsubj,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,26,",",PUNCT,,",",PUNCT,PUNCT,32,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,27,demokratik,B-IndirectObj,,demokratik,ADJ,Adj,29,amod,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,28,sol,I-IndirectObj,,sol(II),ADJ,NAdj,29,nmod:poss,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,29,terazisinin,I-IndirectObj,,Terazi,NOUN,Noun,31,nmod:poss,ess_541,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,30,hangi,I-IndirectObj,,hangi,DET,Adj,31,det,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
104,31,kefesinden,I-IndirectObj,,kefe,NOUN,Noun,32,obl,ess_541,Abl,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
104,32,sesleniyor,B-Pred,,seslen,VERB,Verb,0,root,ess_541,_,Sing,_,Pos,_,_,_,Prog,3,_,_,_,Pres,ess
104,33,?,PUNCT,,?,PUNCT,PUNCT,32,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,1,Gümüş,B-AdverbialComp,,gümüş,NOUN,Noun,2,nmod:poss,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
105,2,yılları,I-AdverbialComp,,yıl,NOUN,Noun,3,obj,ess_541,Acc,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
105,3,aşan,I-AdverbialComp,,aş,VERB,Verb,4,acl,ess_541,_,_,_,Pos,_,_,_,_,_,_,_,_,Pres,ess
105,4-5,saygılı,I-AdverbialComp,,_,_,_,0,_,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,6,bir,I-AdverbialComp,,bir,DET,ANum,7,det,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,7,beraberliğin,I-AdverbialComp,,beraber,NOUN,Noun,11,nmod:poss,ess_541,Gen,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
105,8,"""",I-AdverbialComp,,"""",PUNCT,PUNCT,9,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,9,parlak,I-AdverbialComp,,parlak,ADJ,Adj,11,amod,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,10,"""",I-AdverbialComp,,"""",PUNCT,PUNCT,9,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,11,ışıkları,I-AdverbialComp,,ışık,NOUN,Noun,20,nsubj,ess_541,Nom,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
105,12,",",I-AdverbialComp,,",",PUNCT,PUNCT,20,PUNCT,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,13,günlerin,I-AdverbialComp,,gün,NOUN,Noun,14,nmod:poss,ess_541,Gen,Plur,_,_,_,_,_,_,3,_,_,_,_,ess
105,14,prizmasında,I-AdverbialComp,,prizma,NOUN,Noun,20,obl,ess_541,Loc,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
105,15,önce,I-AdverbialComp,,önce,ADP,PCAbl,17,case,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
105,16,ikiye,I-AdverbialComp,,iki,NUM,NNum,17,nummod,ess_541,Dat,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
105,17,bölünüp,I-AdverbialComp,,böl,VERB,Verb,20,advcl,ess_541,_,_,_,Pos,_,_,_,_,_,Pass,_,_,_,ess
105,18,tuz,I-AdverbialComp,,tuz,NOUN,Noun,19,compound,ess_541,Nom,Sing,_,_,_,_,_,_,3,_,_,_,_,ess
105,19,parça,I-AdverbialComp,,parça,ADV,Noun,20,advmod,ess_541,_,_,_,_,_,_,_,_,_,_,_,_,_,ess
